"CD_NOM","NOM_VALIDE","LAVERGNE"
"124845","Staphylea pinnata","1"
"125123","Sternbergia lutea","1"
"448412","Symphyotrichum novi-belgii","5"
"125341","Symphytum asperum","1"
"125369","Symphytum x uplandicum","3"
"125391","Syringa vulgaris","1"
"125405","Tagetes patula","1"
"125426","Tamarix gallica","1"
"125459","Tanacetum cinerariifolium","1"
"125811","Taxodium distichum","1"
"125838","Telekia speciosa","1"
"126449","Thuja occidentalis","1"
"865630","Aureobasidium thujae-plicatae","1"
"126662","Tilia tomentosa","1"
"127337","Trifolium hybridum","1"
"127692","Triticum aestivum","1"
"141978","Triticum durum","1"
"127827","Triticum turgidum","1"
"127925","Tulipa clusiana","1"
"128907","Veronica longifolia","1"
"128956","Veronica persica","1"
"129124","Vicia benghalensis","1"
"NOMATCH","NOMATCH","1"
"129875","Viola x wittrockiana","1"
"129925","Vitis berlandieri","1"
"NOMATCH","NOMATCH","4"
"129951","Vitis labrusca","1"
"129968","Vitis vinifera","1"
"130005","Vulpia fasciculata","1"
"130118","Wisteria sinensis","1"
"130581","Yucca filamentosa","1"
"109926","Oenothera glazioviana","2"
,,"5"
"NOMATCH","NOMATCH","4"
"612391","Anethum graveolens subsp. graveolens L., 1753","1"
"612611","Petroselinum crispum subsp. crispum (Mill.) Fuss, 1866","1"
"612612","Petroselinum crispum subsp. tuberosum (Schübl. & G.Martens) Soó, 1973","1"
"143625","Anthriscus cerefolium var. cerefolium (L.) Hoffm., 1814","1"
"143627","Anthriscus cerefolium var. trichocarpa Neilr., 1866","1"
"131756","Asparagus officinalis subsp. officinalis L., 1753","1"
"131757","Asparagus officinalis subsp. prostratus (Dumort.) Corb., 1894","1"
"981861","Hyacinthus orientalis subsp. orientalis L., 1753","1"
"153377","Iris germanica 'Florentina' ","1"
"718365","Iris pallida subsp. pallida Lam., 1789","1"
"989054","Sisyrinchium montanum var. montanum Greene, 1899","1"
"131434","Anthemis maritima subsp. maritima L., 1753","1"
"612575","Symphyotrichum novi-belgii var. novi-belgii (L.) G.L.Nesom, 1995","5"
"612575","Symphyotrichum novi-belgii var. novi-belgii (L.) G.L.Nesom, 1995","5"
"613531","Helianthus annuus var. annuus L., 1753","1"
"613530","Helianthus annuus var. macrocarpus (DC.) Cockerell, 1915","1"
"718765","Rudbeckia hirta var. hirta L., 1753","1"
"718766","Rudbeckia hirta var. pulcherrima Farw., 1904","1"
"612631","Xanthium orientale subsp. orientale L., 1763","4"
"612629","Xanthium orientale subsp. italicum (Moretti) Greuter, 2003","4"
"612630","Xanthium orientale subsp. riparium (Čelak.) Greuter, 2003","4"
"718297","Xanthium orientale subsp. saccharatum (Wallr.) B.Bock, 2012","4"
"133920","Dittrichia viscosa subsp. viscosa (L.) Greuter, 1973","1"
"612573","Senecio squalidus subsp. squalidus L., 1753","1"
"612572","Senecio squalidus subsp. rupestris (Waldst. & Kit.) Greuter, 2005","1"
"137096","Lapsana communis subsp. communis L., 1753","2 et 2+"
"137097","Lapsana communis subsp. intermedia (M.Bieb.) Hayek, 1931","2 et 2+"
"131970","Aurinia saxatilis subsp. saxatilis (L.) Desv., 1815","2"
"132199","Brassica napus var. napus L., 1753","1"
"144382","Brassica napus var. napobrassica (L.) Rchb., 1833","1"
"132211","Brassica oleracea subsp. oleracea L., 1753","1"
"932472","Brassica oleracea subsp. acephala (DC.) Metzg., 1833","1"
"612322","Brassica oleracea subsp. botrytis (L.) Duchesne, 1833","1"
"132205","Brassica oleracea subsp. capitata (L.) Schübl. & G.Martens, 1834","1"
"718317","Brassica oleracea subsp. fruticosa Metzg., 1833","1"
"613143","Camelina sativa var. sativa (L.) Crantz, 1762","1"
"613479","Camelina sativa var. pilosa DC., 1824","1"
"135335","Hesperis matronalis subsp. matronalis L., 1753","1"
"135333","Hesperis matronalis subsp. inodora (L.) P.Fourn., 1936","1"
"135338","Hesperis matronalis subsp. nivea (Baumg.) E.P.Perrier, 1917","1"
"135341","Hesperis matronalis subsp. voronovii (N.Busch) P.W.Ball, 1963","1"
"137395","Lobularia maritima subsp. maritima (L.) Desv., 1815","1"
"613587","Raphanus sativus var. sativus L., 1753","1"
"613588","Raphanus sativus var. niger (Mill.) J.Kern., 1789","1"
"613589","Raphanus sativus var. oleiformis Pers., 1806","1"
"131291","Amaranthus graecizans subsp. graecizans L., 1753","1"
"131292","Amaranthus graecizans subsp. silvestris (Vill.) Brenan, 1961","1"
"144251","Bassia scoparia var. scoparia (L.) Voss, 1903","1"
"613467","Bassia scoparia var. culta Voss, 1903","1"
"133817","Dianthus barbatus subsp. barbatus L., 1753","1"
"150567","Reynoutria japonica var. japonica Houtt., 1777","5"
"150565","Reynoutria japonica var. compacta (Hook.f.) Moldenke, 1941","5"
"140381","Rumex patientia subsp. patientia L., 1753","2 et 2+"
"140380","Rumex patientia subsp. orientalis Danser, 1924","2 et 2+"
"133550","Cucumis melo subsp. melo L., 1753","1"
"823900","Cucumis melo subsp. agrestis (Naudin) Pangalo, 1933","1"
"133994","Ecballium elaterium var. elaterium (L.) A.Rich., 1824","1"
"133061","Centranthus ruber subsp. ruber (L.) DC., 1805","1"
"762180","Sarracenia purpurea subsp. purpurea L., 1753","1"
"133648","Cytisus striatus subsp. striatus (Hill) Rothm., 1944","2 et 2+"
"137471","Lupinus albus subsp. albus L., 1753","1"
"137673","Medicago sativa subsp. sativa L., 1753","1"
"137671","Medicago sativa nothosubsp. media (Pers.) Schübl. & G.Martens, 1834","1"
"137666","Medicago sativa subsp. falcata (L.) Arcang., 1882","1"
"137672","Medicago sativa subsp. glomerata x Medicago sativa subsp. sativa L., 1753","1"
"137668","Medicago sativa subsp. glomerata (Balb.) Rouy, 1899","1"
"141860","Trifolium hybridum var. hybridum L., 1753","1"
"620954","Trifolium hybridum var. elegans (Savi) Boiss., 1872","1"
"131228","Alnus cordata subsp. cordata (Loisel.) Duby, 1828","1"
"997895","Alnus cordata subsp. neapolitana (Savi) J.M.Tison, 2021","1"
"142264","Vinca major subsp. major L., 1753","2"
"137741","Melissa officinalis subsp. officinalis L., 1753","1"
"137740","Melissa officinalis subsp. altissima (Sm.) Arcang., 1894","1"
"140519","Salvia officinalis subsp. officinalis L., 1753","1"
"718283","Salvia officinalis subsp. gallica (W.Lippert) Reales, D.Rivera & Obón, 2004","1"
"718284","Salvia officinalis subsp. lavandulifolia (Vahl) Gams, 1927","1"
"140536","Salvia verticillata subsp. verticillata L., 1753","1"
"982235","Ligustrum ovalifolium var. ovalifolium Hassk., 1844","1"
"159745","Olea europaea subsp. europaea L., 1753","1"
"984301","Paulownia tomentosa var. tomentosa (Thunb.) Steud., 1841","1"
"984302","Paulownia tomentosa var. tsinlingensis (Pai) T.Gong, 1976","1"
"718646","Antirrhinum majus var. majus L., 1753","1"
"1020882","Antirrhinum majus var. pseudomajus (Rouy) Rouy, 1909","1"
"718647","Antirrhinum majus var. striatum (DC.) Rothm., 1956","1"
"146587","Euphorbia serpens var. serpens Kunth, 1817","2 et 2+"
"146586","Euphorbia serpens var. fissistipula Thell., 1907","2 et 2+"
"612510","Linum usitatissimum subsp. usitatissimum L., 1753","1"
"137388","Linum usitatissimum subsp. angustifolium (Huds.) Thell., 1912","1"
"139173","Populus nigra subsp. nigra L., 1753","1"
"139169","Populus nigra subsp. betulifolia (Pursh) W.Wettst., 1952","1"
"139172","Populus nigra subsp. neapolitana (Ten.) Maire, 1932","1"
