"CD_NOM","NOM_VALIDE","NOM_VERN","LAVERGNE"
"146306","Echinochloa muricata var. muricata (P.Beauv.) Fernald, 1915","Echinochloa muricata var. muricata (P.Beauv.) Fernald, 1915","2 et 2+"
"146305","Echinochloa muricata var. microstachya Wiegand, 1921","Echinochloa muricata var. microstachya Wiegand, 1921","2 et 2+"
"1031429","Panicum dichotomiflorum subsp. dichotomiflorum Michx., 1803","Panicum dichotomiflorum subsp. dichotomiflorum Michx., 1803","3"
"138542","Panicum miliaceum subsp. miliaceum L., 1753","Panicum miliaceum subsp. miliaceum L., 1753","2"
"138541","Panicum miliaceum subsp. agricola Scholz & Mikoláš, 1991","Panicum miliaceum subsp. agricola Scholz & Mikoláš, 1991","2"
"138543","Panicum miliaceum subsp. ruderale (Kitag.) Tzvelev, 1968","Panicum miliaceum subsp. ruderale (Kitag.) Tzvelev, 1968","2"
"718319","Bromopsis inermis subsp. inermis (Leyss.) Holub, 1973","Bromopsis inermis subsp. inermis (Leyss.) Holub, 1973","2"
"613583","Prunus laurocerasus var. laurocerasus L., 1753","Prunus laurocerasus var. laurocerasus L., 1753","2 et 2+"
"613581","Prunus laurocerasus var. caucasica (Kirchn.) Jaeger","Prunus laurocerasus var. caucasica (Kirchn.) Jaeger","2 et 2+"
"613582","Prunus laurocerasus var. schipkaensis Späth ex H.L.Späth","Prunus laurocerasus var. schipkaensis Späth ex H.L.Späth","2 et 2+"
"989148","Spiraea douglasii var. douglasii Hook., 1832","Spiraea douglasii var. douglasii Hook., 1832","4"
"989141","Spiraea douglasii var. menziesii (Hook.) C.Presl, 1851","Spiraea douglasii var. menziesii (Hook.) C.Presl, 1851","4"
"130708","Acer negundo subsp. negundo L., 1753","Acer negundo subsp. negundo L., 1753","4"
"888735","Arundinariinae Nees ex Lindl., 1836","Arundinariinae Nees ex Lindl., 1836","2 et 2+"
"606849","Arundinaria Michx., 1803","Arundinaria Michx., 1803","2 et 2+"
"715577","Chimonobambusa Makino, 1914","Chimonobambusa Makino, 1914","2 et 2+"
"715571","Fargesia Franch., 1893","Fargesia Franch., 1893","2 et 2+"
"196218","Phyllostachys Siebold & Zucc., 1843 [nom. cons.]","Phyllostachys Siebold & Zucc., 1843 [nom. cons.]","2 et 2+"
"196423","Pleioblastus Nakai, 1925","Pleioblastus Nakai, 1925","2 et 2+"
"197390","Sasa Makino & Shibata, 1901","Sasa Makino & Shibata, 1901","2 et 2+"
"788757","Shibataea Makino ex Nakai, 1933","Shibataea Makino ex Nakai, 1933","2 et 2+"
"196812","x Pseudosasa Makino ex Nakai, 1925","x Pseudosasa Makino ex Nakai, 1925","2 et 2+"
"788756","x Sasinaria Demoly, 1995","x Sasinaria Demoly, 1995","2 et 2+"
"973500","x Semiarundinaria Makino ex Nakai, 1925","x Semiarundinaria Makino ex Nakai, 1925","2 et 2+"
"715585","Yushania Keng f., 1957","Yushania Keng f., 1957","2 et 2+"
"788808","Arundinaria argenteostriata (Regel) Vilm., 1909","Arundinaria argenteostriata (Regel) Vilm., 1909","2 et 2+"
"788855","Arundinaria auricoma Mitford, 1896","Arundinaria auricoma Mitford, 1896","2 et 2+"
"788809","Arundinaria fortunei (van Houtte) Rivière & C.Rivière, 1878","Arundinaria fortunei (van Houtte) Rivière & C.Rivière, 1878","2 et 2+"
"788810","Arundinaria ragamowskii Pfitzer, 1902","Arundinaria ragamowskii Pfitzer, 1902","2 et 2+"
"84141","Arundinaria simonii (Carrière) Rivière & C.Rivière, 1878","Arundinaria simonii (Carrière) Rivière & C.Rivière, 1878","2 et 2+"
"717140","Chimonobambusa quadrangularis (Franceschi) Makino, 1914","Chimonobambusa quadrangularis (Franceschi) Makino, 1914","2 et 2+"
"928370","Fargesia nitida (Mitford) Keng f. ex T.P.Yi, 1985","Fargesia nitida (Mitford) Keng f. ex T.P.Yi, 1985","2 et 2+"
"160058","Fargesia spathacea Franch., 1893","Fargesia spathacea Franch., 1893","2 et 2+"
"611604","Phyllostachys aurea Carrière ex Rivière & C.Rivière, 1878","Phyllostachys aurea Carrière ex Rivière & C.Rivière, 1878","2 et 2+"
"788859","Phyllostachys aureosulcata McClure, 1945","Phyllostachys aureosulcata McClure, 1945","2 et 2+"
"113318","Phyllostachys bambusoides Siebold & Zucc., 1843","Phyllostachys bambusoides Siebold & Zucc., 1843","2 et 2+"
"719097","Phyllostachys edulis (Carrière) J.Houz, 1906","Phyllostachys edulis (Carrière) J.Houz, 1906","2 et 2+"
"611602","Phyllostachys flexuosa Rivière & C.Rivière, 1878","Phyllostachys flexuosa Rivière & C.Rivière, 1878","2 et 2+"
"113319","Phyllostachys nigra (Lodd. ex Lindl.) Munro, 1868","Phyllostachys nigra (Lodd. ex Lindl.) Munro, 1868","2 et 2+"
"788860","Phyllostachys violascens (Carrière) Rivière & C.Rivière, 1878","Phyllostachys violascens (Carrière) Rivière & C.Rivière, 1878","2 et 2+"
"162293","Phyllostachys viridiglaucescens (Carrière) Rivière & C.Rivière, 1878","Phyllostachys viridiglaucescens (Carrière) Rivière & C.Rivière, 1878","2 et 2+"
"611603","Phyllostachys viridis (R.A.Young) McClure, 1956","Phyllostachys viridis (R.A.Young) McClure, 1956","2 et 2+"
"114051","Pleioblastus viridistriatus (Regel) Makino, 1926","Pleioblastus viridistriatus (Regel) Makino, 1926","2 et 2+"
"788827","Sasa x cernua Makino, 1929","Sasa x cernua Makino, 1929","2 et 2+"
"120878","Sasa palmata (Burb.) Camus, 1913","Sasa palmata (Burb.) Camus, 1913","2 et 2+"
"120879","Sasa veitchii (Carrière) Rehder, 1919","Sasa veitchii (Carrière) Rehder, 1919","2 et 2+"
"788813","Shibataea kumasaca (Zoll. ex Steud.) Nakai, 1933","Shibataea kumasaca (Zoll. ex Steud.) Nakai, 1933","2 et 2+"
"116211","x Pseudosasa japonica (Siebold & Zucc. ex Steud.) Makino ex Nakai, 1925","x Pseudosasa japonica (Siebold & Zucc. ex Steud.) Makino ex Nakai, 1925","2 et 2+"
"788812","x Sasinaria masamuneana (Makino) Demoly, 1995","x Sasinaria masamuneana (Makino) Demoly, 1995","2 et 2+"
"788811","x Sasinaria ramosa (Makino) Demoly, 1995","x Sasinaria ramosa (Makino) Demoly, 1995","2 et 2+"
