"CD_NOM","LB_NOM"
718299,"Allium schoenoprasum subsp. schoenoprasum"
81510,"Allium scorodoprasum"
81516,"Allium siculum"
81520,"Allium sphaerocephalon"
131212,"Allium sphaerocephalon subsp. sphaerocephalon"
143282,"Allium sphaerocephalon var. deseglisei"
143283,"Allium sphaerocephalon var. sphaerocephalon"
81522,"Allium strictum"
81523,"Allium suaveolens"
81525,"Allium subhirsutum"
81530,"Allium tenuiflorum"
81537,"Allium trifoliatum"
81538,"Allium triquetrum"
81539,"Allium tuberosum"
81541,"Allium ursinum"
81543,"Allium victorialis"
81544,"Allium vineale"
717068,"Allium x proliferum"
188973,"Allocasuarina"
81554,"Allocasuarina verticillata"
939298,"Alnus"
81563,"Alnus alnobetula"
131226,"Alnus alnobetula subsp. alnobetula"
131227,"Alnus alnobetula subsp. suaveolens"
610833,"Alnus alnobetula x Alnus incana"
81567,"Alnus cordata"
131228,"Alnus cordata subsp. cordata"
997895,"Alnus cordata subsp. neapolitana"
81569,"Alnus glutinosa"
81570,"Alnus incana"
131230,"Alnus incana subsp. incana"
162506,"Alnus japonica"
162503,"Alnus maritima"
610834,"Alnus rubra"
160288,"Alnus subcordata"
81583,"Alnus x elliptica"
81586,"Alnus x pubescens"
81587,"Alnus x spaethii"
446221,"Aloe"
81588,"Aloe arborescens"
81589,"Aloe aristata"
81591,"Aloe brevifolia"
81592,"Aloe ciliaris"
81593,"Aloe ferox"
81594,"Aloe humilis"
81595,"Aloe maculata"
611653,"Aloe maculata x Aloe striata"
81596,"Aloe mitriformis"
81597,"Aloe perfoliata"
81599,"Aloe spectabilis"
717727,"Aloe striatula"
81600,"Aloe succotrina"
161043,"Aloe variegata"
639239,"Aloe vera"
81605,"Aloe x principis"
188989,"Aloina"
4864,"Aloina aloides"
4865,"Aloina ambigua"
434169,"Aloina bifrons"
4866,"Aloina brevirostris"
434171,"Aloina obliquifolia"
3910,"Aloina rigida"
973739,"Alopecurinae"
188993,"Alopecurus"
81610,"Alopecurus aequalis"
81620,"Alopecurus arundinaceus"
718300,"Alopecurus arundinaceus subsp. arundinaceus"
81624,"Alopecurus bulbosus"
718301,"Alopecurus bulbosus subsp. bulbosus"
81637,"Alopecurus geniculatus"
81638,"Alopecurus gerardi"
718302,"Alopecurus gerardi subsp. gerardi"
81648,"Alopecurus myosuroides"
718303,"Alopecurus myosuroides subsp. myosuroides"
81656,"Alopecurus pratensis"
131242,"Alopecurus pratensis subsp. pratensis"
81658,"Alopecurus rendlei"
610835,"Alopecurus setarioides"
81668,"Alopecurus utriculatus"
81673,"Alopecurus x brachystylus"
81674,"Alopecurus x haussknechtianus"
81677,"Alopecurus x marssonii"
81680,"Alopecurus x plettkei"
81682,"Alopecurus x turicensis"
81683,"Alopecurus x wincklerianus"
189000,"Aloysia"
639101,"Aloysia citrodora"
913957,"Alsidieae"
349668,"Alsidium"
72461,"Alsidium corallinum"
72462,"Alsidium helminthochorton"
189005,"Alstroemeria"
81824,"Alstroemeria aurea"
81825,"Alstroemeria haemantha"
81826,"Alstroemeria ligtu"
187225,"Alstroemeriaceae"
189007,"Alternanthera"
81827,"Alternanthera caracasana"
81831,"Alternanthera philoxeroides"
189008,"Althaea"
81837,"Althaea cannabina"
81856,"Althaea officinalis"
81867,"Althaea x taurinensis"
189009,"Althenia"
81869,"Althenia filiformis"
131262,"Althenia filiformis subsp. filiformis"
131263,"Althenia filiformis subsp. orientalis"
597815,"Altingiaceae"
947954,"Alyssoides"
81875,"Alyssoides utriculata"
189013,"Alyssum"
81876,"Alyssum alpestre"
81878,"Alyssum alyssoides"
160975,"Alyssum argenteum"
810907,"Alyssum cacuminum"
81896,"Alyssum corsicum"
161703,"Alyssum flexicaule"
81914,"Alyssum linifolium"
81915,"Alyssum loiseleurii"
81923,"Alyssum montanum"
610845,"Alyssum murale"
81926,"Alyssum orophilum"
81935,"Alyssum rhodanense"
81936,"Alyssum robertianum"
810898,"Alyssum rostratum"
81942,"Alyssum scutigerum"
