"";"Nom cité dans le texte";"Nom français cité dans le texte";"Nom valide";"INTITULE";"ARRETE";"ARTICLE";"CD_NOM"
"";"Epipactis microphylla (Ehrh.) Swartz";"Héléborine à petites feuilles";"Epipactis microphylla (Ehrh.) Sw., 1800";"Liste des espèces végétales protégées en région Auvergne";"Arrêté interministériel du 30 mars 1990 relatif à la liste des espèces végétales protégées en région Auvergne complétant la liste nationale";"Article 1";"96454"
"";"Erigeron alpinus L.";"Vergerette des Alpes";"Erigeron alpinus L., 1753";"Liste des espèces végétales protégées en région Auvergne";"Arrêté interministériel du 30 mars 1990 relatif à la liste des espèces végétales protégées en région Auvergne complétant la liste nationale";"Article 1";"96736"
"";"Fraxinus angustifolia Vahl";"Frêne à feuilles aiguës";"Fraxinus angustifolia Vahl, 1804 [nom. cons.]";"Liste des espèces végétales protégées en région Auvergne";"Arrêté interministériel du 30 mars 1990 relatif à la liste des espèces végétales protégées en région Auvergne complétant la liste nationale";"Article 1";"98910"
"";"Fritillaria meleagris L.";"Fritillaire damier";"Fritillaria meleagris L., 1753";"Liste des espèces végétales protégées en région Auvergne";"Arrêté interministériel du 30 mars 1990 relatif à la liste des espèces végétales protégées en région Auvergne complétant la liste nationale";"Article 1";"98977"
"";"Gentianella ciliata (L.) Borkh.";"Gentiane ciliée";"Gentianopsis ciliata (L.) Ma, 1951";"Liste des espèces végétales protégées en région Auvergne";"Arrêté interministériel du 30 mars 1990 relatif à la liste des espèces végétales protégées en région Auvergne complétant la liste nationale";"Article 1";"99994"
"";"Gladiolus italicus Miller";"Glaïeul des moissons";"Gladiolus italicus Mill., 1768";"Liste des espèces végétales protégées en région Auvergne";"Arrêté interministériel du 30 mars 1990 relatif à la liste des espèces végétales protégées en région Auvergne complétant la liste nationale";"Article 1";"100275"
"";"Glaux maritima (L.).";"Herbe au lait";"Lysimachia maritima (L.) Galasso, Banfi & Soldano, 2005";"Liste des espèces végétales protégées en région Auvergne";"Arrêté interministériel du 30 mars 1990 relatif à la liste des espèces végétales protégées en région Auvergne complétant la liste nationale";"Article 1";"610907"
"";"Halimium umbellatum (L.) Spach";"Hélianthème à bouquets";"Cistus umbellatus L., 1753 subsp. umbellatus";"Liste des espèces végétales protégées en région Auvergne";"Arrêté interministériel du 30 mars 1990 relatif à la liste des espèces végétales protégées en région Auvergne complétant la liste nationale";"Article 1";"612436"
"";"Halimium umbellatum (L.) Spach";"Hélianthème à bouquets";"Cistus umbellatus subsp. viscosus (Willk.) Demoly, 2006";"Liste des espèces végétales protégées en région Auvergne";"Arrêté interministériel du 30 mars 1990 relatif à la liste des espèces végétales protégées en région Auvergne complétant la liste nationale";"Article 1";"612435"
"";"Halimium umbellatum (L.) Spach";"Hélianthème à bouquets";"Cistus umbellatus L., 1753";"Liste des espèces végétales protégées en région Auvergne";"Arrêté interministériel du 30 mars 1990 relatif à la liste des espèces végétales protégées en région Auvergne complétant la liste nationale";"Article 1";"91727"
"";"Helianthemum salicifolium (L.) Miller";"Hélianthème à feuilles de saule";"Helianthemum salicifolium (L.) Mill., 1768";"Liste des espèces végétales protégées en région Auvergne";"Arrêté interministériel du 30 mars 1990 relatif à la liste des espèces végétales protégées en région Auvergne complétant la liste nationale";"Article 1";"100983"
"";"Hieracium aurantiacum L.";"Epervière orangée";"Pilosella aurantiaca (L.) F.W.Schultz & Sch.Bip., 1862 subsp. aurantiaca";"Liste des espèces végétales protégées en région Auvergne";"Arrêté interministériel du 30 mars 1990 relatif à la liste des espèces végétales protégées en région Auvergne complétant la liste nationale";"Article 1";"718388"
"";"Hieracium aurantiacum L.";"Epervière orangée";"Pilosella aurantiaca subsp. auropurpurea (Nägeli & Peter) S.Bräut. & Greuter, 2007";"Liste des espèces végétales protégées en région Auvergne";"Arrêté interministériel du 30 mars 1990 relatif à la liste des espèces végétales protégées en région Auvergne complétant la liste nationale";"Article 1";"718592"
"";"Hieracium aurantiacum L.";"Epervière orangée";"Pilosella aurantiaca subsp. carpathicola (Nägeli & Peter) Soják, 1972";"Liste des espèces végétales protégées en région Auvergne";"Arrêté interministériel du 30 mars 1990 relatif à la liste des espèces végétales protégées en région Auvergne complétant la liste nationale";"Article 1";"138790"
"";"Hieracium aurantiacum L.";"Epervière orangée";"Pilosella aurantiaca (L.) F.W.Schultz & Sch.Bip., 1862";"Liste des espèces végétales protégées en région Auvergne";"Arrêté interministériel du 30 mars 1990 relatif à la liste des espèces végétales protégées en région Auvergne complétant la liste nationale";"Article 1";"113508"
"";"Hieracium cymosum L.";"Epervière en cyme";"Pilosella cymosa subsp. vaillantii (Tausch) S.Bräut. & Greuter, 2007";"Liste des espèces végétales protégées en région Auvergne";"Arrêté interministériel du 30 mars 1990 relatif à la liste des espèces végétales protégées en région Auvergne complétant la liste nationale";"Article 1";"718269"
"";"Hieracium cymosum L.";"Epervière en cyme";"Pilosella cymosa (L.) F.W.Schultz & Sch.Bip., 1862";"Liste des espèces végétales protégées en région Auvergne";"Arrêté interministériel du 30 mars 1990 relatif à la liste des espèces végétales protégées en région Auvergne complétant la liste nationale";"Article 1";"113515"
"";"Hieracium cymosum L.";"Epervière en cyme";"Pilosella cymosa subsp. sabina (Sebast. & Mauri) H.P.Fuchs, 1980";"Liste des espèces végétales protégées en région Auvergne";"Arrêté interministériel du 30 mars 1990 relatif à la liste des espèces végétales protégées en région Auvergne complétant la liste nationale";"Article 1";"718268"
