"";"Nom cité dans le texte";"Nom français cité dans le texte";"Nom valide";"INTITULE";"ARRETE";"ARTICLE";"CD_NOM"
"";"Salix glaucosericea B. Flod.";"Saule glauque";"Salix glaucosericea Flod., 1943";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 1";"120048"
"";"Salvia aethiopis L.";"Sauge d'Ethiopie";"Salvia aethiopis L., 1753";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 1";"120619"
"";"Saussurea discolor (Willd.) DC.";"Saussurée discolore";"Saussurea discolor (Willd.) DC., 1810";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 1";"120951"
"";"Saxifraga clusii Gouan";"Saxifrage de Clusius";"Micranthes clusii (Gouan) B.Bock, 2012";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 1";"717309"
"";"Saxifraga cotyledon L.";"Saxifrage cotyledon";"Saxifraga cotyledon L., 1753";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 1";"121024"
"";"Saxifraga diapensioides Bellardi";"Saxifrage fausse diapensie";"Saxifraga diapensioides Bellardi, 1792";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 1";"121039"
"";"Saxifraga pedemontana All. ssp. prostii (Sternb.) D.A. Webb.";"Saxifrage de Prost";"Saxifraga prostii Sternb., 1831";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 1";"121156"
"";"Saxifraga seguieri Sprengel";"Saxifrage de Séguier";"Saxifraga seguieri Spreng., 1807";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 1";"121184"
"";"Scabiosa canescens Waldst. & Kit.";"Scabieuse blanchâtre";"Scabiosa canescens Waldst. & Kit., 1802";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 1";"121329"
"";"Scirpus hudsonianus (Michx) Fernald";"Scirpe de Hudson";"Trichophorum alpinum (L.) Pers., 1805";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 1";"127191"
"";"Scirpus mucronatus L.";"Scirpe mucroné";"Schoenoplectiella mucronata (L.) J.Jung & H.K.Choi, 2010";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 1";"976160"
"";"Scirpus supinus L.";"Scirpe couché";"Schoenoplectiella supina (L.) Lye, 2003";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 1";"976153"
"";"Scorzonera humilis L.";"Scorsonère des prés";"Scorzonera humilis L., 1753";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 2";"121960"
"";"Scutellaria hastifolia L.";"Scutellaire hastée";"Scutellaria hastifolia L., 1753";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 1";"122070"
"";"Scutellaria minor Hudson";"Petite scutellaire";"Scutellaria minor Huds., 1762";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 1";"122073"
"";"Sedum villosum L.";"Orpin velu";"Sedum villosum L., 1753";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 1";"122281"
"";"Selaginella helvetica (L.) Spring";"Sélaginelle helvétique";"Selaginella helvetica (L.) Spring, 1838";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 1";"122305"
"";"Sempervivum X fauconnettii Reuter";"Joubarbe de Fauconnet";"Sempervivum x piliferum Jord., 1849";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 2";"122517"
"";"Senecio halleri Dandy";"Séneçon de Haller";"Jacobaea uniflora (All.) Veldkamp, 2006";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 1";"610645"
"";"Senecio helenitis (L.) Schinz & Thell. ssp. helenitis";"Séneçon helenitis";"Tephroseris helenitis (L.) B.Nord., 1978 subsp. helenitis";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 1";"141543"
"";"Senecio helenitis (L.) Schinz & Thell. ssp. helenitis";"Séneçon helenitis";"Tephroseris helenitis (L.) B.Nord., 1978 var. helenitis";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 1";"152082"
"";"Senecio helenitis (L.) Schinz & Thell. ssp. helenitis";"Séneçon helenitis";"Tephroseris helenitis var. arvernensis (Rouy) B.Bock, 2012";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 1";"718787"
"";"Senecio helenitis (L.) Schinz & Thell. ssp. helenitis";"Séneçon helenitis";"Tephroseris helenitis var. discoidea (DC.) Kerguélen, 1987";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 1";"152081"
"";"Senecio leucophyllus DC.";"Séneçon à feuilles blanchâtres";"Jacobaea leucophylla (DC.) Pelser, 2006";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 1";"610647"
"";"Senecio paludosus L.";"Séneçon des marais";"Jacobaea paludosa subsp. angustifolia (Holub) B.Nord. & Greuter, 2006";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 1";"718238"
"";"Senecio paludosus L.";"Séneçon des marais";"Jacobaea paludosa (L.) G.Gaertn., B.Mey. & Scherb., 1801";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 1";"103995"
"";"Serapias lingua L.";"Serapias langue";"Serapias lingua L., 1753";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 4";"122810"
"";"Seseli annuum L.";"Seseli annuel";"Seseli annuum L., 1753 subsp. annuum";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 5";"141033"
"";"Seseli annuum L.";"Seseli annuel";"Seseli annuum subsp. carvifolium (Vill.) P.Fourn., 1937";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 5";"611924"
"";"Seseli annuum L.";"Seseli annuel";"Seseli annuum L., 1753";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 5";"122998"
"";"Sesleria ovata (Hoppe) A.  Kerner";"Seslérie ovale";"Sesleria ovata (Hoppe) A.Kern., 1881";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 1";"123082"
"";"Silene brachypoda Rouy";"Silène à pied court";"Silene nutans L., 1753 subsp. nutans";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 1";"141182"
"";"Silene otites (L.) Wibel";"Silène à petites fleurs";"Silene otites (L.) Wibel, 1799 subsp. otites";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 5";"141184"
"";"Silene otites (L.) Wibel";"Silène à petites fleurs";"Silene otites subsp. colpophylla (Wrigley) J.-M.Tison, 2021";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 5";"1000977"
"";"Silene otites (L.) Wibel";"Silène à petites fleurs";"Silene otites subsp. pseudotites (Besser ex Rchb.) Graebn., 1913";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 5";"141185"
"";"Silene otites (L.) Wibel";"Silène à petites fleurs";"Silene otites (L.) Wibel, 1799";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 5";"123577"
"";"Sisymbrella aspera (L.) Spach";"Sisymbrelle rude";"Sisymbrella aspera (L.) Spach, 1838 subsp. aspera";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 1";"141230"
"";"Sisymbrella aspera (L.) Spach";"Sisymbrelle rude";"Sisymbrella aspera subsp. praeterita Heywood, 1964";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 1";"141232"
"";"Sisymbrella aspera (L.) Spach";"Sisymbrelle rude";"Sisymbrella aspera (L.) Spach, 1838";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 1";"123789"
"";"Sparganium emersum Rehmann";"Rubanier émergé";"Sparganium emersum Rehmann, 1871";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 1";"124407"
"";"Sparganium minimum Wallr.";"Petit rubanier";"Sparganium natans L., 1753";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 1";"124412"
"";"Spirodela polyrhiza (L.) Schleiden";"Spirodèle à plusieurs racines";"Spirodela polyrhiza (L.) Schleid., 1839";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 5";"124707"
"";"Stachys alopecuros (L.) Bentham";"Epiaire queue de renard";"Betonica alopecuros L., 1753";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 1";"620862"
"";"Stellaria palustris Retz";"Stellaire des marais";"Stellaria palustris Ehrh. ex Hoffm., 1791";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 1";"125024"
"";"Stipa pennata L.";"Plumet";"Stipa pennata L., 1753 subsp. pennata";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 2";"141484"
"";"Stipa pennata L.";"Plumet";"Stipa pennata L., 1753";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 2";"125173"
"";"Stratiotes aloides L.";"Stratiotes faux aloe";"Stratiotes aloides L., 1753";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 1";"125219"
"";"Swertia perennis L.";"Swertie vivace";"Swertia perennis L., 1753";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 1";"125319"
"";"Teucrium pyrenaicum L.";"Germandrée des Pyrénées";"Teucrium pyrenaicum L., 1753";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 1";"126027"
"";"Teucrium scordium L.";"Germandrée scordium";"Teucrium scordium L., 1753";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 1";"126034"
"";"Thalictrum simplex L.";"Pigamon simple";"Thalictrum simplex L., 1767 subsp. simplex";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 1";"141638"
"";"Thalictrum simplex L.";"Pigamon simple";"Thalictrum simplex subsp. galioides (DC.) Korsh., 1893";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 1";"141636"
"";"Thalictrum simplex L.";"Pigamon simple";"Thalictrum simplex subsp. tenuifolium (Sw. ex Hartm.) Sterner, 1938";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 1";"718422"
"";"Thalictrum simplex L.";"Pigamon simple";"Thalictrum simplex L., 1767";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 1";"126213"
"";"Thelypteris palustris Schott";"Thélipteris des marais";"Thelypteris palustris Schott, 1834 var. palustris";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 1";"970826"
"";"Thelypteris palustris Schott";"Thélipteris des marais";"Thelypteris palustris Schott, 1834";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 1";"126276"
"";"Thesium linophyllon L.";"Thésium à feuilles de lin";"Thesium linophyllon L., 1753 subsp. linophyllon";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 1";"718423"
"";"Thesium linophyllon L.";"Thésium à feuilles de lin";"Thesium linophyllon subsp. montanum (Ehrh. ex Hoffm.) Čelak., 1871";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 1";"141648"
"";"Thesium linophyllon L.";"Thésium à feuilles de lin";"Thesium linophyllon L., 1753";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 1";"126305"
"";"Trifolium retusum L.";"Trèfle à feuilles obtuses";"Trifolium retusum L., 1753";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 1";"127458"
"";"Trifolium saxatile All.";"Trèfle des rochers";"Trifolium saxatile All., 1773";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 1";"127469"
"";"Trochiscanthes nodiflora (Vill.) Koch";"Trochiscanthe nodiflore";"Trochiscanthes nodiflora (All.) W.D.J.Koch, 1824";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 1";"127865"
"";"Typha minima Funck";"Petite massette";"Typha minima Funck, 1794";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 1";"128084"
"";"Utricularia minor L.";"Petite utriculaire";"Utricularia minor L., 1753";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 1";"128315"
"";"Utricularia vulgaris L.";"Utriculaire commune";"Utricularia vulgaris L., 1753";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 1";"128322"
"";"Vaccinium microcarpum (Turcz. ex Rupr.) Schmalh.";"Airelle à petit fruit";"Vaccinium microcarpum (Turcz. ex Rupr.) Schmalh., 1871";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 1";"128343"
"";"Vaccinium oxycoccos L.";"Canneberge";"Vaccinium oxycoccos L., 1753";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 1";"128347"
"";"Valeriana saliunca All.";"Valériane des débris";"Valeriana saliunca All., 1785";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 1";"128434"
"";"Vicia pisiformis L.";"Vesce à forme de pois";"Vicia pisiformis L., 1753";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 1";"129275"
"";"Viola jordanii Hanry";"Violette de Jordan";"Viola jordanii Hanry, 1853";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 1";"129596"
"";"Viola rupestris F.W. Schmidt";"Violettes des rochers";"Viola rupestris F.W.Schmidt, 1791";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 2";"129674"
"";"Wahlenbergia hederacea (L.) Reichenb.";"Walhenbergia à feuilles de lierre";"Hesperocodon hederaceus (L.) Eddie & Cupido, 2014";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 4";"997006"
