"";"Nom cité dans le texte";"Nom français cité dans le texte";"Nom valide";"INTITULE";"ARRETE";"ARTICLE";"CD_NOM"
"";"Cirsium monspessulanum (L.) Hill";"Cirse de Montpellier";"Cirsium monspessulanum (L.) Hill, 1768";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 1";"91369"
"";"Cistanthemum X revoli Coste & Soulié";"Cistanthème de Revol";"Cistus x revolii nothosubsp. revolii H.J.Coste & Soulié, 1921";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 1";"612434"
"";"Cistanthemum X revoli Coste & Soulié";"Cistanthème de Revol";"Cistus x revolii H.J.Coste & Soulié, 1921";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 1";"91790"
"";"Convolvulus cantabrica L.";"Liseron des monts Cantabriques";"Convolvulus cantabrica L., 1753";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 2";"92308"
"";"Cynoglossum germanicum Jacq.";"Cynoglosse d'Allemagne";"Cynoglossum germanicum Jacq., 1767";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 1";"93830"
"";"Cyperus michelianus (L.) Link";"Souchet de Michel";"Cyperus michelianus (L.) Delile, 1813";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 1";"888128"
"";"Cytisus decumbens (Durande) Spach";"Cytise retombant";"Cytisus decumbens (Durande) Spach, 1845";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 1";"94111"
"";"Cytisus sauzeanus Burnat et Briq.";"Cytise de Sauze";"Cytisus ardoinoi subsp. sauzeanus (Bumat & Briq.) Auvray, 2013";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 1";"810955"
"";"Dactylorhiza traunsteineri (Sauter) Soo";"Orchis de Traunsteiner";"Dactylorhiza traunsteineri (Saut. ex Rchb.) Soó, 1962";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 1";"94287"
"";"Daphne cneorum L.";"Daphné camelé";"Daphne cneorum L., 1753";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 1";"94423"
