"CD_NOM","LB_NOM","TRIGRAMME"
613160,"Agrostis rupestris var. rupestris","Agrruprup"
80735,"Agrostis scabra","Agrsca"
80739,"Agrostis schleicheri","Agrsch"
80741,"Agrostis schraderiana","Agrsch2"
80759,"Agrostis stolonifera","Agrsto"
613631,"Agrostis stolonifera var. arenaria","Agrstoare"
142987,"Agrostis stolonifera var. stolonifera","Agrstosto"
80798,"Agrostis vinealis","Agrvin"
612384,"Agrostis vinealis subsp. ericetorum","Agrvineri"
612385,"Agrostis vinealis subsp. vinealis","Agrvinvin"
80808,"Agrostis x bjoerkmanii","Agrxbjo"
80809,"Agrostis x castriferrei","Agrxcas"
610794,"Agrostis x fouilladeana","Agrxfou"
610791,"Agrostis x gigantifera","Agrxgig"
80811,"Agrostis x hackelii","Agrxhac"
80819,"Agrostis x murbeckii","Agrxmur"
80821,"Agrostis x sanionis","Agrxsan"
610788,"Agrostis x stebleri","Agrxste"
610792,"Agrostis x torgesii","Agrxtor"
349685,"Ahnfeltia","Ahnfeltia"
72455,"Ahnfeltia plicata","Ahnpli"
188248,"Ahnfeltiaceae","Ahnfeltiaceae"
188212,"Ahnfeltiales","AhnC.A"
525448,"Ahnfeltiophycidae","Ahn"
349646,"Ahnfeltiopsis","Ahnfeltiopsis"
72457,"Ahnfeltiopsis devoniensis","Ahndev"
627483,"Ahnfeltiopsis flabelliformis","Ahnfla"
850892,"Ahnfeltiopsis pusilla","Ahnpus"
972546,"Aichryson","Aichryson"
1037589,"Aichryson laxum","Aiclax"
894779,"Ailantheae","Ailantheae"
188912,"Ailanthus","Ailanthus"
80824,"Ailanthus altissima","Ailalt"
188915,"Aira","Aira"
80846,"Aira armoricana","Airarm"
80857,"Aira caryophyllea","Aircar"
80864,"Aira cupaniana","Aircup"
80871,"Aira elegantissima","Airele"
80902,"Aira multiculmis","Airmul"
80911,"Aira praecox","Airpra"
80912,"Aira provincialis","Airpro"
80923,"Aira tenorei","Airten"
973662,"Airinae","Airinae"
188917,"Airopsis","Airopsis"
971406,"Airopsis tenella","Airten2"
187280,"Aizoaceae","Aizoaceae"
188919,"Ajuga","Ajuga"
80978,"Ajuga chamaepitys","Ajucha"
80980,"Ajuga genevensis","Ajugen"
80983,"Ajuga iva","Ajuiva"
80988,"Ajuga pyramidalis","Ajupyr"
80990,"Ajuga reptans","Ajurep"
80998,"Ajuga x hybrida","Ajuxhyb"
81000,"Ajuga x pseudopyramidalis","Ajuxpse"
1027378,"Ajugeae","Ajugeae"
851832,"Ajugoideae","Ajugoideae"
188920,"Akebia","Akebia"
81001,"Akebia quinata","Akequi"
188931,"Albizia","Albizia"
447347,"Albizia julibrissin","Albjul"
188937,"Alcea","Alcea"
81019,"Alcea biennis","Alcbie"
1015581,"Alcea biennis x Alcea rosea","AlcbiexAlcros"
81023,"Alcea rosea","Alcros"
188940,"Alchemilla","Alchemilla"
81027,"Alchemilla acutiloba","Alcacu"
81032,"Alchemilla alpigena","Alcalp"
81033,"Alchemilla alpina","Alcalp2"
81034,"Alchemilla amphibola","Alcamp"
81035,"Alchemilla amphisericea","Alcamp2"
81045,"Alchemilla benasquensis","Alcben"
81046,"Alchemilla borderei","Alcbor"
81055,"Alchemilla colorata","Alccol"
81057,"Alchemilla conjuncta","Alccon"
81058,"Alchemilla connivens","Alccon2"
717055,"Alchemilla controversa","Alccon3"
81059,"Alchemilla coriacea","Alccor"
81063,"Alchemilla crinita","Alccri"
81065,"Alchemilla decumbens","Alcdec"
81068,"Alchemilla demissa","Alcdem"
610822,"Alchemilla diluta","Alcdil"
81072,"Alchemilla fallax","Alcfal"
81073,"Alchemilla filicaulis","Alcfil"
81075,"Alchemilla fissa","Alcfis"
81076,"Alchemilla flabellata","Alcfla"
81079,"Alchemilla flexicaulis","Alcfle"
81083,"Alchemilla frigens","Alcfri"
81086,"Alchemilla fulgens","Alcful"
81088,"Alchemilla glabra","Alcgla"
717719,"Alchemilla glacialis","Alcgla2"
717720,"Alchemilla glacialis x Alchemilla pentaphyllea","AlcglaxAlcpen"
81091,"Alchemilla glaucescens","Alcgla3"
81092,"Alchemilla glomerulans","Alcglo"
81095,"Alchemilla grenieri","Alcgre"
81096,"Alchemilla grossidens","Alcgro"
81097,"Alchemilla heteropoda","Alchet"
81098,"Alchemilla hoppeana","Alchop"
81101,"Alchemilla hybrida","Alchyb"
81104,"Alchemilla incisa","Alcinc"
788896,"Alchemilla jaquetiana","Alcjaq"
81117,"Alchemilla leptoclada","Alclep"
610820,"Alchemilla mollis","Alcmol"
81130,"Alchemilla monticola","Alcmon"
717061,"Alchemilla montserratii","Alcmon2"
717062,"Alchemilla nafarroana","Alcnaf"
717063,"Alchemilla obscura","Alcobs"
717064,"Alchemilla ozana","Alcoza"
81137,"Alchemilla pallens","Alcpal"
81140,"Alchemilla pentaphyllea","Alcpen"
717721,"Alchemilla petiolulans","Alcpet"
81142,"Alchemilla plicata","Alcpli"
717065,"Alchemilla polatschekiana","Alcpol"
717066,"Alchemilla propinqua","Alcpro"
892219,"Alchemilla reflexa","Alcref"
81153,"Alchemilla reniformis","Alcren"
81159,"Alchemilla saxatilis","Alcsax"
